EC50_1,SMILES,EC50_0,EC50_2,EC50_3,EC50_4,EC50_5
,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,-1.6020599913279625,-1.6020599913279625,,,
,COc1ccc2[nH]c3c(c2c1)CCNC31CSC2c3c(OC(C)=O)c(C)c4c(c3C(COC1=O)N1C(O)C3Cc5cc(C)c(OC)c(O)c5C(C21)N3C)OCO4,-0.9542425094393248,,,,
,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-1.1760912590556811,,,-1.3926969532596658,
,CC12CC3CC(C)(C1)CC(N)(C3)C2,-1.9030899869919435,,-1.6532125137753435,-1.9382694834629115,
,CN(C)CCN(Cc1cccs1)c1ccccn1,-1.1760912590556811,,,-0.8129133566428556,
,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.0,,,-1.423245873936808,
,COc1c2occc2cc2ccc(=O)oc12,-1.1139433523068367,,-1.9938769149412112,-0.6989700043360189,
,COC(C)(C)C,-2.6989700043360187,,,-2.421603926869832,
,C[N+]1(CC2CC2)CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,-3.1760912590556813,,,-2.848189116991399,
,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,-2.3010299956639813,-2.4771212547196626,,,
,CCCCN1CC(O)C(O)C(O)C1CO,-2.9586741242384,-2.255272505103306,-3.03154310833328,-3.141911630920288,
,Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,-2.3010299956639813,,-1.619788758288394,-1.6020599913279625,
,OCCN=CCNc1ccc(NCCNCCO)c2c(O)c3c(O)ccc(O)c3c(O)c12,-1.3010299956639813,,,-0.9030899869919436,
,NC(CCC(=O)O)C(=O)O,-0.0,,,-3.93597934219487,
,C=CCN1CCC23c4c5ccc(O)c4OC2C(OCCOCCOCCOCCOCCOCCOCCOC)CCC3(O)C1C5,-2.7617608341954742,-2.7269987279362624,-2.505149978319906,-2.720159303405957,
,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,-2.531478917042255,,,-2.531478917042255,
,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-2.401400540781544,,-1.7817553746524688,-1.235528446907549,
,CN1CCCC1c1cccnc1,-1.8084360542881115,,,-1.3925616800980352,
,CCC1C(O)C2C3CCC(C(C)CCC(=O)O)C3(C)CCC2C2(C)CCC(O)CC12,-1.6232492903979006,-1.954242509439325,-1.9057958803678683,-1.9030899869919435,
