EC50_0,SMILES,EC50_1,EC50_2,EC50_3,EC50_4,EC50_5,EC50_6,EC50_7,EC50_8,EC50_9,EC50_10,EC50_11,EC50_12,EC50_13,EC50_14,EC50_15,EC50_16,EC50_17,EC50_18,EC50_19,EC50_20,EC50_21
-0.6020599913279624,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1,,,,,,,,,,,,,,,,,,,,,
-0.6989700043360189,O=P1(N(CCCl)CCCl)NCCCO1,,,,,-0.6989700043360189,-0.6989700043360189,,,,-0.6989700043360189,-1.6989700043360187,,-0.6989700043360189,,,-0.6989700043360189,,,-1.6989700043360187,,
-2.7781512503836434,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,,,,,,,,,,,,,,,,,,,,,
-3.0791812460476247,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,,,,,,,,,,,,-2.903089986991944,-2.7781512503836434,,-3.0791812460476247,-3.0791812460476247,-2.7781512503836434,-3.0791812460476247,-3.0791812460476247,,
-1.6020599913279625,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,,,,-1.3222192947339193,,,,,,-1.1760912590556811,,-1.4771212547196624,-1.0,-1.1760912590556811,-1.4771212547196624,-1.6020599913279625,-0.6989700043360189,-1.6020599913279625,-1.3010299956639813,,-1.4771212547196624
-1.8750612633917,Cc1c(O)c(=O)ccn1C,,,,-1.8750612633917,,,,,,-1.8750612633917,,,-1.8750612633917,-1.8750612633917,,-0.4771212547196624,,,-0.4771212547196624,,
-2.3010299956639813,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,,,,,,,,,,,,,,-2.0,,,-2.3010299956639813,-2.3010299956639813,,-2.3010299956639813,
-2.1760912590556813,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,-2.1760912590556813,,-2.1760912590556813,-1.8750612633917,,-2.1760912590556813,-2.1760912590556813,-2.1760912590556813,-2.1760912590556813,-1.6989700043360187,-1.6989700043360187,,-1.6989700043360187,,-2.1760912590556813,-2.1760912590556813,-0.6020599913279624,-2.1760912590556813,-2.1760912590556813,-0.6020599913279624,-2.0
-0.3010299956639812,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,,,,,,-0.3010299956639812,,,,,,,,,,-2.6989700043360187,,,-0.3010299956639812,,
-2.397940008672037,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,,,,,,,,,,,,,-2.6989700043360187,,-2.6989700043360187,,,,,-2.6989700043360187,
-0.9030899869919436,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,,,-0.9030899869919436,-0.9030899869919436,,-0.9030899869919436,,,,,,,-0.9030899869919436,,-0.9030899869919436,,,-2.6989700043360187,-2.6989700043360187,,-0.9030899869919436
-2.0791812460476247,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,,,,,,,-2.0791812460476247,,,-2.0791812460476247,,-2.0791812460476247,-1.7781512503836436,,-2.0791812460476247,-2.0791812460476247,-2.0791812460476247,,-1.7781512503836436,-2.0791812460476247,
-3.3010299956639813,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,,,,,,-3.3010299956639813,,,,,,,-1.0,,,,,,,,
-2.7781512503836434,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,,,,,,,,,,,,,,-2.7781512503836434,,,-2.7781512503836434,,,,
-2.0,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,,,-2.3010299956639813,,,,,,,,,,,,,,,,,,
-2.397940008672037,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,,,,,,,,,,,,,,,,,,,-3.0,,
-0.9030899869919436,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,,,,,,-0.9030899869919436,,,,,,,-0.9030899869919436,,,,,,-0.9030899869919436,,
